"SYMBOL","Log2FoldChange","Padj","change"
"KMT2E",-0.553593095164162,1.37128000021819e-13,"NOT"
"RHBDD2",-0.309053914847583,0.00113041274229119,"NOT"
"SOX8",0.463124515897049,0.12090335542046,"NOT"
"IBTK",-0.375177002191387,9.24438752650715e-08,"NOT"
"ZNF195",0.440430822549432,2.53946698869964e-07,"NOT"
"MYCBP2",-0.198033300623494,0.0916291831948754,"NOT"
"FBXL3",-0.827485284503883,2.07445683830943e-25,"NOT"
"ITGAL",-1.93441924707425,2.41077723191008e-25,"DOWN"
"PDK2",-0.570721525369721,5.51436592659739e-11,"NOT"
"ITGA3",-0.496887644053147,0.0179709135043392,"NOT"
"ZFX",0.144508657097937,0.176632150440991,"NOT"
"LAMP2",0.460280387499987,9.51267558600363e-08,"NOT"
"ITGA2B",-0.745778663705864,0.000157053968204906,"NOT"
"ASB4",-1.15533383820714,3.35709291677892e-05,"DOWN"
"GDE1",-0.276379596145923,0.000929952047629621,"NOT"
"C19orf60",0.6407717554363,4.56862214377659e-08,"NOT"
"CRLF1",0.844329023024224,0.00127492013931707,"NOT"
"OSBPL7",-0.275287985595879,0.0485454277290221,"NOT"
"TMEM98",-0.762287854098981,6.30194532440976e-08,"NOT"
"YBX2",4.54159552869582,2.12993255929977e-69,"UP"
"KRT33A",7.53982168599272,3.88872155467337e-58,"UP"
"MAP3K14",-0.84695267508077,4.43450738202619e-11,"NOT"
"ABCC8",-0.859944737239524,0.0340374383982921,"NOT"
"CACNG3",0.293517572255255,0.639841555866218,"NOT"
"TMEM132A",3.19364304207459,4.06591055498319e-132,"UP"
"AP2B1",-0.338203660391208,0.000474190666326343,"NOT"
"TAC1",1.2034009930489,0.0723028481255106,"NOT"
"ZNF263",0.124266598858016,0.0706286628429384,"NOT"
"CX3CL1",-1.11968497376043,1.26195533541775e-09,"DOWN"
"SPATA20",0.57027458260706,9.01250556246376e-07,"NOT"
"CACNA1G",-0.07596721346161,0.790697082706714,"NOT"
"TNFRSF12A",-0.200451498549084,0.336139767927617,"NOT"
"DLX6",8.10564411938206,2.77911116043129e-162,"UP"
"MAP3K9",0.310586240994532,0.0197609118966478,"NOT"
"RALA",-0.310155654285125,3.45447790500702e-05,"NOT"
"BAIAP2L1",1.13633677019185,8.3957128759302e-33,"UP"
"KDM7A",-0.0132722736323814,0.915695458922085,"NOT"
"ETV1",-1.96588339779639,5.60006473821774e-27,"DOWN"
"AGK",0.68886627224268,2.58534912009626e-26,"NOT"
"ALDH3B1",-3.2272518516295,8.10197978923117e-63,"DOWN"
"TTC22",1.87565449325289,5.74176495915609e-37,"UP"
"PHTF2",0.849034560881458,3.07865152236018e-23,"NOT"
"CCL26",3.78592753636488,9.50114401641125e-49,"UP"
"FARP2",0.319250833416802,7.30734865582289e-05,"NOT"
"USH1C",1.9769193352528,2.46842100795814e-09,"UP"
"GGCT",1.98637881984363,1.50990032782403e-87,"UP"
"DBF4",2.07976558143001,5.3789318138398e-90,"UP"
"TBXA2R",-1.70138298148105,7.06324451157871e-42,"DOWN"
"IFRD1",0.29008584554021,0.00891300041684764,"NOT"
"LGALS14",0.828908363259601,0.242929740945165,"NOT"
"COX10",0.429111793592386,5.93338875515922e-08,"NOT"
"GTF2IRD1",1.32582277504068,3.8866446924063e-41,"UP"
"PAF1",0.282782649485733,0.00957300442139101,"NOT"
"VPS41",-0.201473658281411,0.00307138124891593,"NOT"
"ARHGAP44",-2.97473638011406,8.49928079794771e-67,"DOWN"
"ELAC2",0.307447302943375,1.65527806864827e-05,"NOT"
"SCIN",0.405833212734092,0.177692650174767,"NOT"
"ARSD",-0.657084153850208,1.07308314938114e-07,"NOT"
"PNPLA4",0.476108477370948,0.000180316092885943,"NOT"
"MYH13",0.674483957693716,0.0338656613613291,"NOT"
"ADIPOR2",0.129602895819305,0.169150132589196,"NOT"
"CDKL3",0.0740321573001142,0.520779081671518,"NOT"
"UPP2",0.327074769237903,0.18590585544543,"NOT"
"PRSS21",1.5783013301348,5.42650375913817e-07,"UP"
"MARK4",0.64657544155855,7.92191549367152e-14,"NOT"
"PROM1",-0.211172011456074,0.607039178206086,"NOT"
"CCDC124",0.571377742517515,3.44389989593874e-11,"NOT"
"CEACAM21",-2.32624066591393,1.27093616660083e-39,"DOWN"
"PAFAH1B1",-0.537006335941544,2.50251832303907e-18,"NOT"
"NOS2",2.61513422622541,2.49827419968031e-12,"UP"
"DNAH9",-3.16002356839286,1.47392077707936e-24,"DOWN"
"KIAA0100",-0.148023184270724,0.104363538924883,"NOT"
"SLC13A2",-1.04643041815274,0.0075886472325004,"DOWN"
"GAS7",-1.63197494271262,1.59543423235983e-22,"DOWN"
"TRAPPC6A",0.397936478199073,0.000900527159963935,"NOT"
"MATK",-1.16062003473109,3.23548645205295e-11,"DOWN"
"CEACAM7",4.6523150264035,5.31336231462259e-30,"UP"
"CD79B",-0.187433425138434,0.460094794291913,"NOT"
"SCN4A",0.863442102937804,0.00222760058050174,"NOT"
"ST7L",0.0681320331163497,0.431169905623281,"NOT"
"TKTL1",1.75733345599388,0.000394465720051478,"UP"
"PAX6",1.10323601507919,7.56898775150654e-07,"UP"
"RPUSD1",1.19127043535088,4.69198533748986e-40,"UP"
"RHBDF1",-0.220047123280814,0.0643550200085254,"NOT"
"LUC7L",0.155647257321268,0.188222939952967,"NOT"
"CACNA2D2",-4.64665691317272,9.23067198941171e-87,"DOWN"
"BAIAP3",-1.09655844810596,2.0720078719659e-07,"DOWN"
"TSR3",0.340134030092899,6.23007771995908e-06,"NOT"
"PIGQ",-0.515759313948965,9.7508012325908e-10,"NOT"
"CRAMP1",0.192014425926513,0.030426351754212,"NOT"
